"1" "private flight" "\n" "-" "n/a" "" "" "y"
"2" "135 airways" "\n" "" "gnl" "general" "united states" "n"
"3" "1time airline" "\n" "1t" "rnx" "nextime" "south africa" "y"
"4" "2 sqn no 1 elementary flying training school" "\n" "" "wyt" "" "united kingdom" "n"
"5" "213 flight unit" "\n" "" "tfu" "" "russia" "n"
"6" "223 flight unit state airline" "\n" "" "chd" "chkalovsk-avia" "russia" "n"
"7" "224th flight unit" "\n" "" "ttf" "cargo unit" "russia" "n"
"8" "247 jet ltd" "\n" "" "twf" "cloud runner" "united kingdom" "n"
"9" "3d aviation" "\n" "" "sec" "securex" "united states" "n"
"10" "40-mile air" "\n" "q5" "mla" "mile-air" "united states" "y"
"11" "4d air" "\n" "" "qrt" "quartet" "thailand" "n"
"12" "611897 alberta limited" "\n" "" "thd" "donut" "canada" "n"
"13" "ansett australia" "\n" "an" "aaa" "ansett" "australia" "y"
"14" "abacus international" "\n" "1b" "" "" "singapore" "y"
"15" "abelag aviation" "\n" "w9" "aab" "abg" "belgium" "n"
"16" "army air corps" "\n" "" "aac" "armyair" "united kingdom" "n"
"17" "aero aviation centre ltd." "\n" "" "aad" "sunrise" "canada" "n"
"18" "aero servicios ejecutivos internacionales" "\n" "" "sii" "aseisa" "mexico" "n"
"19" "aero biniza" "\n" "" "bzs" "biniza" "mexico" "n"
"20" "aero albatros" "\n" "" "abm" "albatros espana" "spain" "n"
"21" "aigle azur" "\n" "zi" "aaf" "aigle azur" "france" "y"
"22" "aloha airlines" "\n" "aq" "aah" "aloha" "united states" "y"
"23" "alaska island air" "\n" "" "aak" "alaska island" "united states" "n"
"24" "american airlines" "\n" "aa" "aal" "american" "united states" "y"
"25" "aviation management corporation" "\n" "" "aam" "am corp" "united states" "n"
"26" "atlantis airlines (usa)" "\n" "" "aao" "atlantis air" "united states" "n"
"27" "aerovista airlines" "\n" "" "aap" "aerovista group" "united arab emirates" "n"
"28" "asiana airlines" "\n" "oz" "aar" "asiana" "republic of korea" "y"
"29" "askari aviation" "\n" "4k" "aas" "al-aas" "pakistan" "y"
"30" "australia asia airlines" "\n" "" "aau" "austasia" "australia" "n"
"31" "astro air international" "\n" "" "aav" "astro-phil" "united states" "n"
"32" "afriqiyah airways" "\n" "8u" "aaw" "afriqiyah" "libya" "y"
"33" "afrinat international airlines" "\n" "q9" "afu" "" "gambia" "n"
"34" "afric'air express" "\n" "" "aax" "afrex" "ivory coast" "n"
"35" "allegiant air" "\n" "g4" "aay" "allegiant" "united states" "y"
"36" "angus aviation" "\n" "" "aaz" "angus" "canada" "n"
"37" "artem-avia" "\n" "" "aba" "artem-avia" "ukraine" "n"
"38" "african business and transportations" "\n" "" "abb" "african business-" "democratic republic of the congo" "n"
"39" "aban air" "\n" "k5" "abe" "aban" "iran" "n"
