"1" "Goroka" "Goroka" "Papua New Guinea" "GKA" "ayga" "-6.081689" 145.391881 5282 "10" "U" "Pacific/Port_Moresby"
"2" "Madang" "Madang" "Papua New Guinea" "MAG" "aymd" "-5.207083" 145.7887 20 "10" "U" "Pacific/Port_Moresby"
"3" "Mount Hagen" "Mount Hagen" "Papua New Guinea" "HGU" "aymh" "-5.826789" 144.295861 5388 "10" "U" "Pacific/Port_Moresby"
"4" "Nadzab" "Nadzab" "Papua New Guinea" "LAE" "aynz" "-6.569828" 146.726242 239 "10" "U" "Pacific/Port_Moresby"
"5" "Port Moresby Jacksons Intl" "Port Moresby" "Papua New Guinea" "POM" "aypy" "-9.443383" 147.22005 146 "10" "U" "Pacific/Port_Moresby"
"6" "Wewak Intl" "Wewak" "Papua New Guinea" "WWK" "aywk" "-3.583828" 143.669186 19 "10" "U" "Pacific/Port_Moresby"
"7" "Narsarsuaq" "Narssarssuaq" "Greenland" "UAK" "bgbw" "61.160517" -45.425978 112 "-3" "E" "America/Godthab"
"8" "Nuuk" "Godthaab" "Greenland" "GOH" "bggh" "64.190922" -51.678064 283 "-3" "E" "America/Godthab"
"9" "Sondre Stromfjord" "Sondrestrom" "Greenland" "SFJ" "bgsf" "67.016969" -50.689325 165 "-3" "E" "America/Godthab"
"10" "Thule Air Base" "Thule" "Greenland" "THU" "bgtl" "76.531203" -68.703161 251 "-4" "E" "America/Thule"
"11" "Akureyri" "Akureyri" "Iceland" "AEY" "biar" "65.659994" -18.072703 6 "0" "N" "Atlantic/Reykjavik"
"12" "Egilsstadir" "Egilsstadir" "Iceland" "EGS" "bieg" "65.283333" -14.401389 76 "0" "N" "Atlantic/Reykjavik"
"13" "Hornafjordur" "Hofn" "Iceland" "HFN" "bihn" "64.295556" -15.227222 24 "0" "N" "Atlantic/Reykjavik"
"14" "Husavik" "Husavik" "Iceland" "HZK" "bihu" "65.952328" -17.425978 48 "0" "N" "Atlantic/Reykjavik"
"15" "Isafjordur" "Isafjordur" "Iceland" "IFJ" "biis" "66.058056" -23.135278 8 "0" "N" "Atlantic/Reykjavik"
"16" "Keflavik International Airport" "Keflavik" "Iceland" "KEF" "bikf" "63.985" -22.605556 171 "0" "N" "Atlantic/Reykjavik"
"17" "Patreksfjordur" "Patreksfjordur" "Iceland" "PFJ" "bipa" "65.555833" -23.965 11 "0" "N" "Atlantic/Reykjavik"
"18" "Reykjavik" "Reykjavik" "Iceland" "RKV" "birk" "64.13" -21.940556 48 "0" "N" "Atlantic/Reykjavik"
"19" "Siglufjordur" "Siglufjordur" "Iceland" "SIJ" "bisi" "66.133333" -18.916667 10 "0" "N" "Atlantic/Reykjavik"
"20" "Vestmannaeyjar" "Vestmannaeyjar" "Iceland" "VEY" "bivm" "63.424303" -20.278875 326 "0" "N" "Atlantic/Reykjavik"
"21" "Sault Ste Marie" "Sault Sainte Marie" "Canada" "YAM" "cyam" "46.485001" -84.509445 630 "-5" "A" "America/Toronto"
"22" "Winnipeg St Andrews" "Winnipeg" "Canada" "YAV" "cyav" "50.056389" -97.0325 760 "-6" "A" "America/Winnipeg"
"23" "Shearwater" "Halifax" "Canada" "YAW" "cyaw" "44.639721" -63.499444 167 "-4" "A" "America/Halifax"
"24" "St Anthony" "St. Anthony" "Canada" "YAY" "cyay" "51.391944" -56.083056 108 "-3.5" "A" "America/St_Johns"
"25" "Tofino" "Tofino" "Canada" "YAZ" "cyaz" "49.082222" -125.7725 80 "-8" "A" "America/Vancouver"
"26" "Kugaaruk" "Pelly Bay" "Canada" "YBB" "cybb" "68.534444" -89.808056 56 "-7" "A" "America/Edmonton"
"27" "Baie Comeau" "Baie Comeau" "Canada" "YBC" "cybc" "49.1325" -68.204444 71 "-5" "A" "America/Toronto"
"28" "Bagotville" "Bagotville" "Canada" "YBG" "cybg" "48.330555" -70.996391 522 "-5" "A" "America/Toronto"
"29" "Baker Lake" "Baker Lake" "Canada" "YBK" "cybk" "64.298889" -96.077778 59 "-6" "A" "America/Winnipeg"
"30" "Campbell River" "Campbell River" "Canada" "YBL" "cybl" "49.950832" -125.270833 346 "-8" "A" "America/Vancouver"
"31" "Brandon Muni" "Brandon" "Canada" "YBR" "cybr" "49.91" -99.951944 1343 "-6" "A" "America/Winnipeg"
"32" "Cambridge Bay" "Cambridge Bay" "Canada" "YCB" "cycb" "69.108055" -105.138333 90 "-7" "A" "America/Edmonton"
"33" "Nanaimo" "Nanaimo" "Canada" "YCD" "cycd" "49.052333" -123.870167 93 "-8" "A" "America/Vancouver"
"34" "Castlegar" "Castlegar" "Canada" "YCG" "cycg" "49.296389" -117.6325 1624 "-8" "A" "America/Vancouver"
"35" "Miramichi" "Chatham" "Canada" "YCH" "cych" "47.007778" -65.449167 108 "-4" "A" "America/Halifax"
"36" "Charlo" "Charlo" "Canada" "YCL" "cycl" "47.990833" -66.330278 132 "-4" "A" "America/Halifax"
"37" "Kugluktuk" "Coppermine" "Canada" "YCO" "cyco" "67.816667" -115.143889 74 "-7" "A" "America/Edmonton"
"38" "Coronation" "Coronation" "Canada" "YCT" "cyct" "52.075001" -111.445278 2595 "-7" "A" "America/Edmonton"
"39" "Chilliwack" "Chilliwack" "Canada" "YCW" "cycw" "49.152779" -121.93889 32 "-8" "A" "America/Vancouver"
"40" "Clyde River" "Clyde River" "Canada" "YCY" "cycy" "70.486111" -68.516667 87 "-5" "A" "America/Toronto"
"41" "Fairmont Hot Springs" "Coral Harbour" "Canada" "YZS" "cycz" "64.193333" -83.359444 2661 "-5" "A" "America/Coral_Harbour"
"42" "Dawson City" "Dawson" "Canada" "YDA" "cyda" "64.043056" -139.127778 1215 "-8" "A" "America/Vancouver"
"43" "Burwash" "Burwash" "Canada" "YDB" "cydb" "61.371111" -139.040556 2647 "-8" "A" "America/Vancouver"
"44" "Princeton" "Princeton" "Canada" "YDC" "cydc" "49.468056" -120.511389 2298 "-8" "A" "America/Vancouver"
"45" "Deer Lake" "Deer Lake" "Canada" "YDF" "cydf" "49.210833" -57.391388 72 "-3.5" "A" "America/St_Johns"
"46" "Dease Lake" "Dease Lake" "Canada" "YDL" "cydl" "58.422222" -130.032222 2600 "-8" "A" "America/Vancouver"
"47" "Dauphin Barker" "Dauphin" "Canada" "YDN" "cydn" "51.100834" -100.0525 999 "-6" "A" "America/Winnipeg"
"48" "Dawson Creek" "Dawson Creek" "Canada" "YDQ" "cydq" "55.742333" -120.183 2148 "-7" "A" "America/Dawson_Creek"
"49" "Edmonton Intl" "Edmonton" "Canada" "YEG" "cyeg" "53.309723" -113.579722 2373 "-7" "A" "America/Edmonton"
"50" "Arviat" "Eskimo Point" "Canada" "YEK" "cyek" "61.094166" -94.070833 32 "-6" "A" "America/Winnipeg"
"51" "Estevan" "Estevan" "Canada" "YEN" "cyen" "49.210278" -102.965833 1905 "-6" "N" "America/Regina"
"52" "Edson" "Edson" "Canada" "YET" "cyet" "53.578888" -116.465 3041 "-7" "A" "America/Edmonton"
"53" "Eureka" "Eureka" "Canada" "YEU" "cyeu" "79.994722" -85.814167 256 "-6" "A" "America/Winnipeg"
"54" "Inuvik Mike Zubko" "Inuvik" "Canada" "YEV" "cyev" "68.304167" -133.482778 224 "-7" "A" "America/Edmonton"
"55" "Iqaluit" "Iqaluit" "Canada" "YFB" "cyfb" "63.75639" -68.555832 110 "-5" "A" "America/Toronto"
"56" "Fredericton" "Fredericton" "Canada" "YFC" "cyfc" "45.868889" -66.537222 68 "-4" "A" "America/Halifax"
"57" "Forestville" "Forestville" "Canada" "" "cyfe" "48.746111" -69.097222 293 "-5" "A" "America/Toronto"
"58" "Flin Flon" "Flin Flon" "Canada" "YFO" "cyfo" "54.678055" -101.681667 997 "-6" "A" "America/Winnipeg"
"59" "Fort Resolution" "Fort Resolution" "Canada" "YFR" "cyfr" "61.180832" -113.689722 526 "-7" "A" "America/Edmonton"
"60" "Fort Simpson" "Fort Simpson" "Canada" "YFS" "cyfs" "61.760153" -121.236525 555 "-7" "A" "America/Edmonton"
"61" "Kingston" "Kingston" "Canada" "YGK" "cygk" "44.225277" -76.596944 305 "-5" "A" "America/Toronto"
"62" "La Grande Riviere" "La Grande Riviere" "Canada" "YGL" "cygl" "53.625278" -77.704167 639 "-5" "A" "America/Toronto"
"63" "Gaspe" "Gaspe" "Canada" "YGP" "cygp" "48.775278" -64.478611 108 "-5" "A" "America/Toronto"
