"China" "CHN" 1364270000
"India" "IND" 1295291543
"United States" "USA" 318857056
"Indonesia" "IDN" 254454778
"Brazil" "BRA" 206077898
"Pakistan" "PAK" 185044286
"Nigeria" "NGA" 177475986
"Bangladesh" "BGD" 159077513
"Russian Federation" "RUS" 143819569
"Japan" "JPN" 127131800
"Mexico" "MEX" 125385833
"Philippines" "PHL" 99138690
"Ethiopia" "ETH" 96958732
"Vietnam" "VNM" 90730000
"Germany" "DEU" 80889505
"Turkey" "TUR" 75932348
"Thailand" "THA" 67725979
"France" "FRA" 66206930
"United Kingdom" "GBR" 64510376
"Italy" "ITA" 61336387
"South Africa" "ZAF" 54001953
"Myanmar" "MMR" 53437159
"Tanzania" "TZA" 51822621
"Colombia" "COL" 47791393
"Spain" "ESP" 46404602
"Ukraine" "UKR" 45362900
"Kenya" "KEN" 44863583
"Argentina" "ARG" 42980026
"Sudan" "SDN" 39350274
"Algeria" "DZA" 38934334
"Poland" "POL" 37995529
"Uganda" "UGA" 37782971
"Canada" "CAN" 35540419
"Iraq" "IRQ" 34812326
"Morocco" "MAR" 33921203
"Afghanistan" "AFG" 31627506
"Peru" "PER" 30973148
"Saudi Arabia" "SAU" 30886545
"Uzbekistan" "UZB" 30757700
"Malaysia" "MYS" 29901997
"Nepal" "NPL" 28174724
"Mozambique" "MOZ" 27216276
"Ghana" "GHA" 26786598
"Angola" "AGO" 24227524
"Madagascar" "MDG" 23571713
"Australia" "AUS" 23490736
"Cameroon" "CMR" 22773014
"Sri Lanka" "LKA" 20639000
"Romania" "ROU" 19910995
"Niger" "NER" 19113728
"Chile" "CHL" 17762647
"Burkina Faso" "BFA" 17589198
"Kazakhstan" "KAZ" 17289111
"Mali" "MLI" 17086022
"Malawi" "MWI" 16695253
"Guatemala" "GTM" 16015494
"Ecuador" "ECU" 15902916
"Zambia" "ZMB" 15721343
"Cambodia" "KHM" 15328136
"Zimbabwe" "ZWE" 15245855
"Senegal" "SEN" 14672557
"Chad" "TCD" 13587053
"Guinea" "GIN" 12275527
"South Sudan" "SSD" 11911184
"Cuba" "CUB" 11379111
"Rwanda" "RWA" 11341544
"Belgium" "BEL" 11225207
"Tunisia" "TUN" 10996600
"Greece" "GRC" 10957740
"Burundi" "BDI" 10816860
"Benin" "BEN" 10598482
"Haiti" "HTI" 10572029
"Bolivia" "BOL" 10561887
"Somalia" "SOM" 10517569
"Czech Republic" "CZE" 10510566
"Dominican Republic" "DOM" 10405943
"Portugal" "PRT" 10397393
"Hungary" "HUN" 9861673
"Sweden" "SWE" 9689555
"Azerbaijan" "AZE" 9537823
"Belarus" "BLR" 9470000
"United Arab Emirates" "ARE" 9086139
"Austria" "AUT" 8534492
"Tajikistan" "TJK" 8295840
"Israel" "ISR" 8215300
"Switzerland" "CHE" 8190229
"Honduras" "HND" 7961680
"Papua New Guinea" "PNG" 7463577
"Bulgaria" "BGR" 7223938
"Serbia" "SRB" 7129428
"Togo" "TGO" 7115163
"Jordan" "JOR" 6607000
"Paraguay" "PRY" 6552518
"Sierra Leone" "SLE" 6315627
"Libya" "LBY" 6258984
"El Salvador" "SLV" 6107706
"Nicaragua" "NIC" 6013913
"Denmark" "DNK" 5639565
"Singapore" "SGP" 5469700
"Finland" "FIN" 5463596
